id,code,name,version_ciiu,active
anexo01_9522,9522,"REPARACIÓN DE APARATOS DE USO DOMÉSTICO Y EQUIPO DOMÉSTICO Y DE JARDINERÍA",v4,1
anexo01_5510,5510,"ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS",v4,1
anexo01_5610,5610,"ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS",v4,1
anexo01_4921,4921,"TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE",v4,1
anexo01_4922,4922,"OTROS TIPOS DE TRANSPORTE NO REGULAR DE PASAJEROS POR VÍA TERRESTRE.",v4,1
anexo01_4923,4923,"TRANSPORTE DE CARGA POR CARRETERA.",v4,1
anexo01_7911,7911,"ACTIVIDADES DE AGENCIAS DE VIAJES",v4,1
anexo01_6810,6810,"ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS",v4,1
anexo01_6201,6201,"PROGRAMACIÓN INFORMÁTICA",v4,1
anexo01_6311,6311,"PROCESAMIENTO DE DATOS, HOSPEDAJE Y ACTIVIDADES CONEXAS",v4,1
anexo01_9511,9511,"REPARACIÓN DE ORDENADORES Y EQUIPO PERIFÉRICO",v4,1
anexo01_6209,6209,"OTROS SERVICIOS INFORMÁTICOS Y DE TECNOLOGÍAS DE LA INFORMACIÓN.",v4,1
anexo01_7220,7220,"INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES.",v4,1
anexo01_6910,6910,"ACTIVIDADES JURÍDICAS.",v4,1
anexo01_6920,6920,"ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS Y AUDITORÍA; ASESORAMIENTO EN MATERIA DE IMPUESTOS.",v4,1
anexo01_7020,7020,"ACTIVIDADES DE CONSULTORÍA DE GESTIÓN",v4,1
anexo01_7110,7110,"ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA",v4,1
anexo01_7310,7310,"PUBLICIDAD.",v4,1
anexo01_8020,8020,"ACTIVIDADES DE SERVICIO DE SISTEMAS DE SEGURIDAD",v4,1
anexo01_8129,8129,"OTRAS ACTIVIDADES DE LIMPIEZA DE EDIFICIOS E INSTALACIONES INDUSTRIALES",v4,1
anexo01_8299,8299,"OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P",v4,1
anexo01_8411,8411,"ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA EN GENERAL.",v4,1
anexo01_8510,8510,"ENSEÑANZA PRE-ESCOLAR Y PRIMARIA.",v4,1
anexo01_8521,8521,"ENSEÑANZA SECUNDARIA DE FORMACIÓN GENERAL.",v4,1
anexo01_8530,8530,"ENSEÑANZA SUPERIOR.",v4,1
anexo01_8549,8549,"OTROS TIPOS DE ENSEÑANZA N.C.P.",v4,1
anexo01_8620,8620,"ACTIVIDADES DE MÉDICOS Y ODONTÓLOGOS.",v4,1
anexo01_8690,8690,"OTRAS ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA",v4,1
anexo01_9499,9499,"ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.",v4,1
anexo01_6020,6020,"PROGRAMACIÓN Y TRANSMISIONES DE TELEVISIÓN",v4,1
anexo01_9000,9000,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",v4,1
anexo01_9312,9312,"ACTIVIDADES DE CLUBES DEPORTIVOS",v4,1
anexo01_9602,9602,"PELUQUERÍA Y OTROS TRATAMIENTOS DE BELLEZA.",v4,1
